college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
gaurishankar multiple campus,bhimeshwor municipality1 charikot bhimeshwor bhimeshwor dolakha,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education med education planning and management master of business studies mbs,community institution,0494211240,basnetk11yahoocom,24,1,145
harikumar smarak college,bharatpur chitwan,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,129
charikot multiple campus,lamabagar bhimeshwor dolakha,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,,,34,1,556
mahadev masta chaturdev campus,ratapani khatyad mugu,tribhuvan university,bachelor of education bed,community institution,975800068,,34,1,781
budhuk campus,maunabudhuk2 maunabudhuk chaubise dhankuta,tribhuvan university,bachelor of education bed,community institution,,,34,1,632
bagiswori college,taulachhen chyamhasing bhaktapur,tribhuvan university,bachelor of arts ba bachelor of business studies bbs master of business studies mbs ma in sociology,community institution,016610270 016613041,infobagisworicollegeedunp,34,1,918
dibya jyoti multiple campus,bardghat bardaghat parasi,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs bachelor of business administration bba,community institution,078580209 580031,dibayajyoticampus2047gmailcom,34,1,82
basu college,kalighat byasi bhaktapur,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,461
adarsha azad college,bhelukhel11 bhaktapur,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,016610580,,34,1,138
aadikavi bhanubhakta multiple campus,damauli byas tanahun,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed ma in sociology ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of business studies mbs med education planning and management med in english language education med nepali language education bachelor of education in information communication technology bicte ten plus two 2 science 2 science bachelor of business administration bba,community institution,065560096 065560946 065560946,infoaadikavicampusedunp,24,1,257
kabhre multiple campus,banepa kavrepalanchok,national examinations board,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs bachelor of education in information communication technology bicte ma in sociology bachelor of computer application bca,community institution,97711661133,infokavrecampusedunp,24,1,67
janajyoti multiple campus sarlahi,lalbandi lalbandi sarlahi,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of arts ba bachelor of education bed bachelor of business studies bbs master of education general med bachelor of education in information communication technology bicte master of business studies mbs,community institution,046501436 046 501550,infojjmcedunp,24,1,552
hanumanteshwar campus,baiteshwor dolakha,tribhuvan university,bachelor of education bed bachelor of education in information communication technology bicte,community institution,993490715 9844061317,,34,1,49
lumbini adarsha degree college,kawasoti5 kawasoti nawalpur,national examinations board,ten plus two 2 management 2 mangement master of education med bachelor of arts ba bachelor of education bed bachelor of business administration bba,community institution,078 540405,,24,1,974
gauri shanker campus pokhara,hemja pokhara pokhara lekhnath kaski,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of education bed bachelor of business studies bbs,community institution,,,24,1,404
araniko college,barhabise barhabise sindhupalchok,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,011489159,,34,1,87
madan bhandari memorial academy,mangalbare urlabari uralabari morang,pokhara university,diploma in agriculture plant science prediploma in civil engineering civil suboverseer civil suboverseer diploma in agriculture animal science bachelor of civil engineering bachelor of computer engineering be computer bachelor of architecture barch diploma in civil engineering master of science in construction management pcl in general medicinehealth assistant ha prediploma in livestock production  animal health,community institution,021410023  021410213  021410212,infombmanorgnp,28,1,613
sukuna multiple campus,indrapur sundarharaicha morang,national examinations board,master of education general med bachelor of arts ba bachelor of education bed bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement master of business studies mbs bachelor of education in information communication technology bicte bachelor of science general bsc ten plus two 2 science 2 science bsc physics bsc botany bsc geology bsc microbiology bachelor of business administration bba,community institution,021545617 021545717,infosukunaedunp,24,1,415
pathari multiple campus,pathari patahrishanishchare morang,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs,community institution,021555480,patharicampus880gmailcom,34,1,711
chaumala multiple campus,chaumala2 chaumala gauriganga kailali,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,9848541968,,34,1,228
public campus biratnagar,dhanimanigaun dhanimani morang,purbanchal university,bachelor of education bed bachelor of business studies bbs,community institution,021524955021524483,,29,1,284
nirmal multiple campus,basamadhi2 bastipur basamadhi hetauda makwanpur,tribhuvan university,bachelor of education bed bachelor of arts ba bachelor of business studies bbs,community institution,,,34,1,90
seti goan multiple campus,dilasaini baitadi,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,311
tilottama campus,yogikuti butwal tillotama rupandehi,pokhara university,bachelor of business administration bba,community institution,071437659 071438559,infotilottamaedunp,28,1,972
